Title,Location,Price,Area
                        Apartment Bosboom Toussaintstraat                            ,            1054 AT Amsterdam (Helmersbuurt)        ,"                €4,500 per month            ",155 m²
                        Apartment De Lairessestraat 172 B                            ,            1075 HM Amsterdam (Willemspark)        ,"                €2,950 per month            ",84 m²
                        Apartment Parnassusweg 184                            ,            1076 AT Amsterdam (Prinses Irenebuurt e.o.)        ,"                €2,450 per month            ",95 m²
                        Apartment Albert Molhof                            ,            1031 JK Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,650 per month            ",35 m²
                        Apartment Bilderdijkstraat                            ,            1053 LE Amsterdam (Van Lennepbuurt)        ,"                €1,750 per month            ",58 m²
                        Apartment Runstraat 12 2                            ,            1016 GK Amsterdam (Grachtengordel-West)        ,"                €2,650 per month            ",88 m²
                        Apartment Korte Koningsstraat 14 hs                            ,            1011 GA Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,050 per month            ",120 m²
                        Apartment Overtoom                            ,            1054 HR Amsterdam (Helmersbuurt)        ,"                €2,350 per month            ",74 m²
                        Apartment Rijswijkstraat 157 A                            ,            1062 ES Amsterdam (Westlandgracht)        ,"                €1,395 per month            ",60 m²
                        Apartment Singel                            ,            1015 AC Amsterdam (Grachtengordel-West)        ,"                €2,200 per month            ",80 m²
                        Apartment Tollensstraat 63 C                            ,            1053 RS Amsterdam (Kinkerbuurt)        ,"                €1,550 per month            ",40 m²
                        Apartment Papaverweg                            ,            1032 KH Amsterdam (Volewijck)        ,"                €1,275 per month            ",40 m²
                        Apartment Galjootstraat                            ,            1086 VE Amsterdam (IJburg West)        ,"                €1,750 per month            ",85 m²
                        Apartment De Clercqstraat 66                            ,            1052 NJ Amsterdam (Da Costabuurt)        ,"                €2,100 per month            ",68 m²
                        Apartment Reyer Anslostraat 2 2                            ,            1054 KV Amsterdam (Overtoomse Sluis)        ,"                €1,950 per month            ",80 m²
                        Apartment Wethouder Frankeweg 32 2                            ,            1098 LB Amsterdam (Middenmeer)        ,"                €1,575 per month            ",75 m²
                        Apartment Van Oldenbarneveldtstraat                            ,            1052 KA Amsterdam (Frederik Hendrikbuurt)        ,"                €2,250 per month            ",85 m²
                        Apartment Van Oldenbarneveldtstraat                            ,            1052 JX Amsterdam (Frederik Hendrikbuurt)        ,"                €1,450 per month            ",50 m²
                        Apartment Kuipersstraat                            ,            1073 ER Amsterdam (Nieuwe Pijp)        ,"                €1,750 per month            ",51 m²
                        Apartment Nieuwe Leliestraat 55 A                            ,            1015 SJ Amsterdam (Jordaan)        ,"                €1,950 per month            ",70 m²
                        Apartment Pieter Oosterhuisstraat                            ,            1087 HT Amsterdam (IJburg Zuid)        ,"                €2,350 per month            ",112 m²
                        Apartment Willemsparkweg 92 III                            ,            1071 HM Amsterdam (Museumkwartier)        ,"                €2,100 per month            ",69 m²
                        Apartment Legmeerstraat                            ,            1058 NA Amsterdam (Hoofddorppleinbuurt)        ,"                €2,100 per month            ",59 m²
                        Apartment Schimmelstraat 7 C                            ,            1053 TA Amsterdam (Kinkerbuurt)        ,"                €1,925 per month            ",55 m²
                        Apartment Anton Verheijstraat                            ,            1077 KT Amsterdam (Prinses Irenebuurt e.o.)        ,"                €3,100 per month            ",108 m²
                        Apartment Keizersgracht                            ,            1017 EW Amsterdam (Grachtengordel-Zuid)        ,"                €3,200 per month            ",108 m²
                        House Johannes Verhulststraat                            ,            1071 MX Amsterdam (Museumkwartier)        ,"                €13,500 per month            ",383 m²
                        Apartment Bestevâerstraat                            ,            1055 TL Amsterdam (Landlust)        ,"                €1,750 per month            ",71 m²
                        House Nicolaas Ruychaverstraat 13                            ,            1067 NH Amsterdam (Geuzenveld)        ,"                €1,900 per month            ",97 m²
                        Apartment Jacob van Lennepstraat 15 3                            ,            1053 HA Amsterdam (Van Lennepbuurt)        ,"                €1,750 per month            ",57 m²
                        Apartment Deurloostraat 47 H                            ,            1078 HT Amsterdam (Scheldebuurt)        ,"                €5,400 per month            ",168 m²
                        Apartment Hoofdweg                            ,            1057 CX Amsterdam (Hoofdweg e.o.)        ,"                €1,800 per month            ",60 m²
